l, theta
0.019,-2.35619
0.019,-2.35006
0.019,-2.34392
0.019,-2.33779
0.019,-2.33165
0.019,-2.32551
0.019,-2.31938
0.019,-2.31324
0.019,-2.30711
0.019,-2.30097
0.019,-2.29484
0.019,-2.2887
0.019,-2.28256
0.019,-2.27643
0.019,-2.27029
0.019,-2.26416
0.019,-2.25802
0.019,-2.25188
0.019,-2.24575
0.019,-2.23961
0.019,-2.23348
0.019,-2.22734
0.019,-2.2212
0.019,-2.21507
0.019,-2.20893
0.019,-2.2028
0.019,-2.19666
0.019,-2.19052
0.019,-2.18439
0.019,-2.17825
0.019,-2.17212
0.019,-2.16598
0.019,-2.15984
0.019,-2.15371
0.019,-2.14757
0.019,-2.14144
0.019,-2.1353
0.019,-2.12917
0.019,-2.12303
0.019,-2.11689
0.019,-2.11076
0.019,-2.10462
0.019,-2.09849
0.019,-2.09235
2.059,-2.08621
2.045,-2.08008
2.042,-2.07394
2.03,-2.06781
2.026,-2.06167
2.021,-2.05553
2.01,-2.0494
1.998,-2.04326
1.996,-2.03713
1.988,-2.03099
1.982,-2.02485
1.974,-2.01872
1.96,-2.01258
1.952,-2.00645
1.951,-2.00031
1.94,-1.99417
1.938,-1.98804
1.936,-1.9819
1.925,-1.97577
1.924,-1.96963
1.911,-1.9635
1.888,-1.95736
1.857,-1.95122
1.843,-1.94509
1.832,-1.93895
1.832,-1.93282
1.832,-1.92668
1.842,-1.92054
1.856,-1.91441
1.856,-1.90827
1.856,-1.90214
1.843,-1.896
1.842,-1.88986
1.839,-1.88373
1.836,-1.87759
1.832,-1.87146
1.824,-1.86532
1.823,-1.85918
1.822,-1.85305
1.815,-1.84691
1.81,-1.84078
1.803,-1.83464
1.802,-1.82851
1.797,-1.82237
1.797,-1.81623
1.781,-1.8101
1.778,-1.80396
1.777,-1.79783
1.777,-1.79169
1.773,-1.78555
1.769,-1.77942
1.766,-1.77328
1.759,-1.76715
1.759,-1.76101
1.759,-1.75487
1.758,-1.74874
1.749,-1.7426
1.741,-1.73647
1.74,-1.73033
1.74,-1.72419
1.735,-1.71806
1.733,-1.71192
1.729,-1.70579
1.726,-1.69965
1.723,-1.69351
1.723,-1.68738
1.723,-1.68124
1.722,-1.67511
1.719,-1.66897
1.716,-1.66284
1.716,-1.6567
1.708,-1.65056
1.708,-1.64443
1.706,-1.63829
1.701,-1.63216
1.7,-1.62602
1.697,-1.61988
1.696,-1.61375
1.693,-1.60761
1.692,-1.60148
